TMP,LEDvolt,PDvolt
31.274414,1.279358,0.873047
31.195068,1.279297,0.873169
30.938720,1.279297,0.873047
29.333496,1.279785,0.872131
27.246093,1.281250,0.872986
25.549316,1.283203,0.873291
24.920654,1.284973,0.874390
24.926757,1.285156,0.874573
24.890136,1.285156,0.874634
24.945068,1.285095,0.874084
24.981689,1.285034,0.874939
25.463867,1.285095,0.875183
26.257324,1.283691,0.874817
27.172851,1.283264,0.875000
28.204345,1.283020,0.874329
29.156494,1.281311,0.874268
30.212402,1.281189,0.872864
31.182861,1.279297,0.873474
32.183837,1.279358,0.872803
33.184814,1.278381,0.872864
34.197998,1.277344,0.872192
35.229492,1.276672,0.871094
36.151123,1.275452,0.871094
37.225341,1.275146,0.870239
38.183593,1.273437,0.869629
39.227294,1.273437,0.869385
40.191650,1.271484,0.868286
41.162109,1.271423,0.867737
42.126464,1.270142,0.866882
43.109130,1.269470,0.865784
44.122314,1.268738,0.865173
45.050048,1.267578,0.862976
46.075439,1.267090,0.862122
47.039794,1.265625,0.860596
47.991943,1.265259,0.859375
49.011230,1.263794,0.857300
50.006103,1.263611,0.855347
50.964355,1.261719,0.853394
51.977539,1.261597,0.851318
52.923583,1.260254,0.849243
53.918457,1.259766,0.846619
54.980468,1.258484,0.844482
55.914306,1.257812,0.842651
56.896972,1.257568,0.839966
57.928466,1.255859,0.837952
58.807373,1.255798,0.835693
59.857177,1.253967,0.833740
60.852050,1.253784,0.831482
61.779785,1.251953,0.829468
62.805175,1.251953,0.826721
63.842773,1.250427,0.825378
64.825439,1.249878,0.822815
65.673828,1.249023,0.820801
66.778564,1.248108,0.818481
67.773437,1.247925,0.816284
68.762207,1.246094,0.814453
69.714355,1.246094,0.811279
70.733642,1.244324,0.809814
71.728515,1.244141,0.807312
72.747802,1.242554,0.805237
73.693847,1.242126,0.802673
74.719238,1.240662,0.800537
75.659179,1.240173,0.798706
76.623535,1.239624,0.796082
77.624511,1.238342,0.793396
78.613281,1.237976,0.790710
79.614257,1.236389,0.788635
80.554199,1.236267,0.786499
81.604003,1.234497,0.783264
82.592773,1.234253,0.781250
83.587646,1.232605,0.778687
84.539794,1.232544,0.775818
85.510253,1.230896,0.774170
86.444091,1.230469,0.772156
87.475585,1.229309,0.768921
88.482666,1.228516,0.765625
89.526367,1.228210,0.764893
90.460205,1.226624,0.762573
91.467285,1.226562,0.759888
92.510986,1.224670,0.758789
93.493652,1.224426,0.756836
94.427490,1.222839,0.755493
95.410156,1.222595,0.753967
96.484375,1.221436,0.752624
97.351074,1.220703,0.751709
98.443603,1.220093,0.750610
98.571777,1.218750,0.751160
97.973632,1.218933,0.753235
97.216796,1.220032,0.755737
96.368408,1.220764,0.759216
95.373535,1.220764,0.761719
94.396972,1.222534,0.765808
93.304443,1.222717,0.768677
92.358398,1.224426,0.772644
91.339111,1.224609,0.774658
90.228271,1.226013,0.777466
89.331054,1.226562,0.781250
88.366699,1.227295,0.784119
87.072753,1.228455,0.786682
86.029052,1.229309,0.790771
84.985351,1.230530,0.793396
83.984375,1.231262,0.796936
82.958984,1.232361,0.799988
82.012939,1.233398,0.802734
80.932617,1.234436,0.806030
79.980468,1.234436,0.808411
78.924560,1.236206,0.810791
77.966308,1.236389,0.813965
76.904296,1.238159,0.816406
75.830078,1.238342,0.819214
74.908447,1.240112,0.821655
73.950195,1.240234,0.824219
73.028564,1.241882,0.827209
71.917724,1.242187,0.828430
70.935058,1.243164,0.831360
69.927978,1.244141,0.833496
68.908691,1.244263,0.835449
67.944335,1.246094,0.837585
66.949462,1.246277,0.839722
65.942382,1.247986,0.841553
64.916992,1.248047,0.843140
63.964843,1.249451,0.845032
62.927246,1.250000,0.847046
61.968994,1.250732,0.848694
60.992431,1.251953,0.850220
60.009765,1.252930,0.852417
58.959960,1.253906,0.853210
58.020019,1.254150,0.854187
56.964111,1.256042,0.856140
55.969238,1.255981,0.857666
55.017089,1.257690,0.859070
54.077148,1.257874,0.859741
53.063964,1.259644,0.860901
52.044677,1.259827,0.862366
51.080322,1.260742,0.862671
50.109863,1.261658,0.863464
49.090576,1.262695,0.865173
48.071289,1.263672,0.866272
47.106933,1.264099,0.866882
46.093750,1.265625,0.867187
45.153808,1.265747,0.867859
44.165039,1.267395,0.868652
43.164062,1.267578,0.869568
42.138671,1.269409,0.870422
41.137695,1.269592,0.870666
40.106201,1.270874,0.871033
39.221191,1.271484,0.872009
38.165283,1.272583,0.872742
37.170410,1.273437,0.872742
36.206054,1.273987,0.872986
35.113525,1.275391,0.872986
34.204101,1.275574,0.874145
33.197021,1.277283,0.874390
32.189941,1.277405,0.873840
31.225585,1.279114,0.874939
30.218505,1.279297,0.875061
29.199218,1.280762,0.875244
28.173828,1.281250,0.875488
27.185058,1.281921,0.875671
26.208496,1.283142,0.875732
25.244140,1.283691,0.875549
24.981689,1.285034,0.875732
24.829101,1.285217,0.875427
